"Fakt/Benchmark","Kategoria","Dane","Źródło","Weryfikacja","Unikalność","Powiązania z typami DISC","Zalecana waga"
"Spadek udziału rynkowego Tesli w PL","Rynek","Udział Tesli w segmencie BEV w Polsce spadł z 30% (2024) do 10,6% (I-II 2025), a sprzedaż o 53,1% r/r.","Psychologia Zakupowa...txt, 4_250720_081722.txt","Wysoka (dane rynkowe)","Wysoka","C, D","8"
"Wzrost rynku BEV w PL","Rynek","Wzrost rejestracji BEV o 22% r/r w I kw. 2025. W maju 2025 wzrost o 118% r/r, a udział BEV w rynku osiągnął rekordowe 6%.","Skuteczne i Etyczne Techniki...txt, 4_250720_081722.txt","Wysoka (dane SAMAR/PZPM)","Wysoka","I","7"
"Koszt przejazdu 100km (EV vs ICE)","Koszty","EV: ~10-16 zł (ładowanie w domu), ~45-60 zł (publiczne DC). ICE: ~45 zł (spalanie 7l/100km).","TCO...txt, Psychologia Zakupowa...txt","Wysoka (kalkulacja oparta na cenach energii/paliw)","Wysoka","C, S","9"
"Limit amortyzacji (EV vs ICE)","Podatki (B2B)","EV: 225 000 zł. ICE: 150 000 zł (w 2025, od 2026 - 100 000 zł).","Elektryczne możliwości podatkowe...txt","Wysoka (przepisy prawne)","Wysoka","D, C","10"
"Wysokość dopłat 'NaszEauto'","Finansowanie","Do 40 000 zł dla osób fizycznych i JDG przy cenie auta do 225 000 zł netto.","5_250720_082620.txt, Skuteczne i Etyczne Techniki...txt","Wysoka (oficjalne zasady programu)","Wysoka","S, C","10"
"Liczba publicznych punktów ładowania w PL","Infrastruktura","Ok. 10 889 ogólnodostępnych punktów na koniec czerwca 2025 (+50% r/r).","Rynek samochodów elektrycznych w Polsce 2025.txt","Wysoka (dane PSPA/PSNM)","Średnia","S, C","7"
"Struktura nabywców EV w PL","Rynek","87% nabywców to firmy i klienci instytucjonalni (dane na 2024).","Psychologia Zakupowa...txt","Wysoka (dane rynkowe)","Wysoka","D, C","8"
"Gwarancja na baterię","Niezawodność","Standard rynkowy to 8 lat lub 160 000 - 192 000 km.","TCO...txt, Realne rozpoznawanie intencji...txt","Wysoka (dane producentów)","Średnia","S, C","8"
"Koszt wymiany baterii","Koszty","Realna wycena wymiany baterii w Tesli Model 3 w polskim ASO to ok. 110 000 zł.","TCO...txt","Wysoka (dane serwisowe)","Wysoka","S, C","9"
"Udział w rynku EV w Europie (PL vs średnia UE)","Rynek","Polska: ~3% (2024). Średnia UE: znacznie wyższa.","Psychologia Zakupowa...txt","Wysoka (dane ACEA/Eurostat)","Średnia","I","6"
"Cytat klienta o TCO","Opinia klienta","'50 tys. wkładu własnego, 2 lata rat leasingu i najwyższy możliwy wykup końcowy' - typowy model finansowania.","Segmentacja klientów Tesla...txt","Wysoka (cytat z forum)","Wysoka","C","8"
"Cytat klienta o synergii z PV","Opinia klienta","'Fotowoltaika + Tesla = synergiczna ekologia' - głos segmentu 'Pragmatyczny Optymalizator'.","Segmentacja klientów Tesla...txt","Wysoka (cytat z forum)","Wysoka","S, C","7"
"Cytat klienta o jeździe próbnej","Opinia klienta","'Po 10 minutach jazdy przeczucie zamieniło się w pewność' - siła doświadczenia bezpośredniego.","Segmentacja klientów Tesla...txt","Wysoka (cytat z forum)","Wysoka","I","8"
"Średnia cena nowego BEV w PL","Cena","Ok. 250 000 zł (dane z I poł. 2024).","Psychologia Zakupowa...txt","Wysoka (dane rynkowe)","Wysoka","C, S","9"
"Oczekiwania cenowe Polaków vs rzeczywistość","Cena","Oczekiwana cena miejskiego EV: ~100 tys. zł. Rzeczywista średnia cena: ~178 tys. zł.","Psychologia Zakupowa...txt","Wysoka (dane z badań)","Wysoka","C, S","9"