"Nazwa Techniki","Typ","Opis","Przykład w sprzedaży EV","Źródło","Weryfikacja","Unikalność","Powiązania z typami DISC","Zalecana waga"
"Framing (Ramkowanie)","Etyczna/Czarna Psychologia","Przedstawienie informacji w sposób wpływający na decyzję, np. 'strata vs zysk'. Podkreślanie utraconych korzyści przy pozostaniu przy aucie spalinowym.","'Każdego roku traci Pan 10 tys. zł na paliwo i serwis, które EV pozwoli zaoszczędzić.'","Mistrzostwo perswazji...txt","Wysoka (udowodniona technika psychologiczna)","Średnia","C, S","8"
"Efekt Przynęty (Decoy Effect)","Czarna Psychologia","Wprowadzenie trzeciej, celowo mniej atrakcyjnej opcji, aby jedna z dwóch pierwotnych opcji wydawała się lepszą okazją.","Prezentacja Modelu 3 LR z pakietem 'Premium' jako przynęty, by Model 3 Performance wydawał się lepszym wyborem w stosunku do niewielkiej dopłaty.","Mistrzostwo perswazji...txt","Wysoka (udowodniona technika psychologiczna)","Wysoka","I, D","7"
"Zasada Niedoboru (Scarcity)","Czarna Psychologia","Podkreślanie ograniczonej dostępności lub limitowanego czasu oferty, aby wywołać strach przed utratą okazji (FOMO).","'To ostatnia sztuka w tym kolorze z gwarancją dopłaty. Następna dostawa za 3 miesiące.'","Mistrzostwo perswazji...txt, Skuteczne i Etyczne Techniki...txt","Wysoka (wymaga autentyczności, ryzyko prawne przy fałszerstwie)","Średnia","D, I","8"
"Zasada Autorytetu","Etyczna/Czarna Psychologia","Powoływanie się na opinie ekspertów, znanych osób, wyniki testów (np. Euro NCAP) lub wizję lidera (np. Elona Muska), aby zbudować zaufanie.","'Jak podkreśla Elon Musk, nasze baterie są projektowane na miliony mil.' lub 'Ten model zdobył 5 gwiazdek w testach bezpieczeństwa Euro NCAP.'","Mistrzostwo perswazji...txt","Wysoka (skuteczna, ale wymaga wiarygodnych źródeł)","Średnia","S, C","7"
"Stopa w Drzwiach (Foot-in-the-Door)","Etyczna/Czarna Psychologia","Rozpoczęcie od małej, łatwej do spełnienia prośby (np. pytanie o ekologię), aby zwiększyć prawdopodobieństwo zgody na większą prośbę (np. jazdę próbną).","'Czy interesuje Pana ekologia?' -> 'W takim razie zapraszam na jazdę próbną, by poczuć, jak jeździ auto przyjazne środowisku.'","Mistrzostwo perswazji...txt","Wysoka (udowodniona technika psychologiczna)","Wysoka","I, S","8"
"Dowód Społeczny (Social Proof)","Etyczna","Pokazywanie, że inni, podobni ludzie już dokonali wyboru i są zadowoleni, co redukuje niepewność.","'W czerwcu 2025 już 7,6% nowych aut w PL to elektryki. Mamy wielu zadowolonych klientów w Pana okolicy.'","Skuteczne i Etyczne Techniki...txt","Wysoka (wymaga autentycznych danych/opinii)","Średnia","I, S","8"
"Budowanie Zaufania i Relacji (Rapport)","Etyczna","Nawiązywanie autentycznej relacji poprzez aktywne słuchanie, empatię, profesjonalizm i bycie rzetelnym doradcą.","'Rozumiem Pana obawy dotyczące serwisu, dlatego chciałbym dokładnie wyjaśnić, jak wygląda nasza opieka gwarancyjna.'","Skuteczne i Etyczne Techniki...txt","Wysoka (fundament etycznej sprzedaży)","Niska","S, I","10"
"Język Korzyści i Personalizacja","Etyczna","Mówienie o cechach produktu w kontekście konkretnych korzyści dla danego klienta, na podstawie jego zdiagnozowanych potrzeb.","Dla rodziny: 'Duży bagażnik i najwyższe noty w testach bezpieczeństwa zapewnią komfort i spokój Pana rodzinie.'","Skuteczne i Etyczne Techniki...txt","Wysoka (podstawa nowoczesnej sprzedaży)","Średnia","Wszystkie","9"
"Drzwiami w Twarz (Door-in-the-Face)","Czarna Psychologia","Przedstawienie na początku wygórowanej prośby, a po jej odrzuceniu, przedstawienie mniejszej, właściwej prośby, która wydaje się bardziej akceptowalna.","Zaproponowanie na start najdroższego Modelu S Plaid, a po odmowie, przedstawienie Modelu 3 jako 'znacznie bardziej przystępnej' opcji.","Mistrzostwo perswazji...txt","Wysoka (technika psychologiczna)","Wysoka","D","6"
"Niska Piłka (Low-ball)","Czarna Psychologia","Zwabienie klienta atrakcyjną ofertą, a po jego zaangażowaniu, zmiana warunków na mniej korzystne, licząc, że klient nie zrezygnuje.","'Mamy dla Pana ten model za 180 tys. zł.' Po decyzji: 'Niestety, ta promocja właśnie się skończyła, ale mogę zaoferować za 185 tys. zł.'","Mistrzostwo perswazji...txt","Wysoka (nieetyczna i ryzykowna prawnie)","Wysoka","D","3"
"Mirroring (Dopasowanie)","Etyczna","Subtelne odzwierciedlanie języka ciała, tonu głosu i słownictwa klienta, aby zbudować podświadome poczucie porozumienia.","Jeśli klient mówi wolno i spokojnie, sprzedawca również zwalnia tempo i używa spokojniejszego tonu.","Mistrzostwo perswazji...txt","Wysoka (skuteczna technika komunikacyjna)","Wysoka","Wszystkie","7"
"Zbijanie Obiekcji Faktami","Etyczna","Reagowanie na obawy klienta poprzez przedstawianie konkretnych, weryfikowalnych danych, a nie zaprzeczanie czy bagatelizowanie.","Obiekcja: 'Boję się o baterię'. Odpowiedź: 'Rozumiem, dlatego producent daje na nią 8 lat gwarancji, a statystyki pokazują, że ich żywotność przekracza 15 lat.'","Skuteczne i Etyczne Techniki...txt","Wysoka (kluczowa umiejętność sprzedażowa)","Średnia","C, S","10"