Pytanie,Najpopularniejsza_Odpowiedź,Dodatkowe_Dane,Źródło_Danych,Kategoria
Jaki jest Twój przedział wiekowy?,45-54 lata (median: 48 lat),"74% mężczyzn, 26% kobiet w 2025","Hedges Company 2025, Canvas Business Model",Demografia
Jaki jest Twój roczny dochód gospodarstwa domowego?,"$144,341 (spadek z $153,135 w 2018)",Premium segment - wyższe dochody niż średnia krajowa,"Hedges Company 2025, Tesla demografics study",Demografia
Jaki jest Twój najwyższy poziom wykształcenia?,Wyższe wykształcenie (Bachelor's/Master's dominują),Wyższy poziom edukacji koreluje z adoption EV,Multiple EV adoption surveys,Demografia
Jaki jest Twój obecny zawód?,Tech/Business professionals,"Early adopters technologii, często w tech industry",Tesla owner demographics research,Demografia
Ile osób mieszka w Twoim gospodarstwie domowym?,2-3 osoby,Średnio 2.3 osoby na gospodarstwo domowe,US census data correlation,Demografia
Czy jesteś właścicielem domu?,Tak - większość to właściciele domów,Home ownership umożliwia home charging,Tesla charging infrastructure studies,Demografia
W jakiej miejscowości mieszkasz?,Obszary metropolitalne/suburbia,Głównie coastal areas i tech hubs,Geographic distribution studies,Demografia
"Jak prawdopodobne jest, że kupisz Teslę w ciągu następnych 6 miesięcy? (skala 1-10)",6-7 (moderate to high probability),72% klientów Tesla motywuje incentives/tax credits,J.D. Power E-Vision Intelligence Report,Intencje_Zakupowe
Jaka jest Twoja główna motywacja do rozważenia Tesli?,"Środowisko + Technologia (82% environmental, 40% tech)","Environmental commitment (82%), Lower fuel costs (73%), Reduced maintenance (50%)",Tesla Market Australia Survey 2023,Intencje_Zakupowe
Jaki jest Twój budżet na zakup pojazdu?,"$50,000-70,000 (Model 3/Y range)","Model 3: $43,190-59,190, Model Y: $44,990-66,000","Tesla pricing data 2025, Investopedia",Intencje_Zakupowe
Który model Tesli Cię najbardziej interesuje?,"Model Y (47.36% market share), Model 3 (27.30%)","Model X (4.42%), Model S (2.53%) - mniejszy udział",Experian Automotive Consumer Trends Report Q2 2023,Intencje_Zakupowe
Jak ważny jest wpływ na środowisko w Twojej decyzji?,Bardzo ważny - 82% wybiera ze względu na zero emissions,"67% believes BEVs reduce climate change, 68% reduce pollution",Transportation Energy Institute study,Intencje_Zakupowe
Jakie funkcje są dla Ciebie najważniejsze?,"Range (87%), Supercharger network (40%), Performance (50%)",Design and performance also critical (50% respondents),Tesla Market Survey 500 respondents,Intencje_Zakupowe
Skąd po raz pierwszy dowiedziałeś się o Tesli?,"Social media/Elon Musk (primary), Word of mouth",Tesla dominuje brand awareness w EV space (27% association),Canadian BEV consumer study 2017,Intencje_Zakupowe
Jakie inne marki rozważasz?,"BMW (iX, i4), Mercedes (EQS, EQE), Audi (e-tron)","Tesla 81.61% luxury EV market share vs BMW 4.42%, Mercedes 3.27%",Experian luxury EV market share data,Analiza_Konkurencyjna
Czy testowałeś pojazdy konkurencyjnych marek?,Tak - 60-70% testuje konkurencję przed wyborem Tesla,Tesla testing często decisive factor w purchase decision,Consumer behavior studies multiple sources,Analiza_Konkurencyjna
Jakie widzisz główne zalety Tesli?,"Superior technology, Range (87%), Supercharger network","99% Tesla customers would recommend, 98% would repurchase",SurveySensum Tesla NPS study,Analiza_Konkurencyjna
Jakie masz obawy dotyczące Tesli?,"Service quality (42% vs 57% w 2017), Price, Reliability",Service experience biggest weakness - wait times increasing,Bernstein Tesla owners survey 2019,Analiza_Konkurencyjna
Jak Tesla wypada w porównaniu do Twojej obecnej marki pojazdu?,"Znacznie lepsza technologia, ale gorszy serwis","Tesla retains 11.4% more value than BMW iX, 9.5% vs Mercedes EQS",iSeeCars Tesla vs competition resale study,Analiza_Konkurencyjna
"Co sprawiłoby, że wybrałbyś Teslę zamiast konkurencji?","Proven track record, Technology advancement, Range",Technology gap największy differentiator vs competition,Brand preference surveys multiple studies,Analiza_Konkurencyjna
Czy rozważasz pojazdy elektryczne innych marek?,"Tak, ale Tesla nadal preferowane","Tesla awareness: 40% see as 'future of EVs', actual purchase intent różny",Canadian consumer EV study brand perceptions,Analiza_Konkurencyjna
Jak komfortowo czujesz się z nowymi technologiami?,Bardzo komfortowo - early adopters technologii,Tesla customers generationally familiar with digital products,McKinsey technology adoption generational study,Adopcja_Technologii
Czy używasz aplikacji mobilnych do funkcji pojazdu?,Tak - Tesla app bardzo popularny wśród userów,Tesla app integration critical dla user experience,Tesla customer experience research,Adopcja_Technologii
Jak ważne są aktualizacje oprogramowania over-the-air?,Bardzo ważne - kluczowy differentiator Tesla,"OTA updates = higher CSAT scores, feeling of 'new car'",LinkedIn Tesla OTA updates analysis,Adopcja_Technologii
Czy interesuje Cię autonomiczna jazda?,"Tak, ale z ostrożnością ze względu na safety concerns",103 FSD Beta users study shows mixed adoption patterns,PMC Tesla Autopilot usage study 2023,Adopcja_Technologii
W jaki sposób wolisz interagować z kontrolkami pojazdu?,Touchscreen interface - akceptacja wysoka,Minimalistic design philosophy accepted by Tesla users,Tesla customer journey mapping,Adopcja_Technologii
Które funkcje technologiczne najbardziej Cię ekscytują?,"OTA updates, Autopilot, Supercharging, Performance",40% customers cite advanced technology as key purchase factor,Tesla Market Survey Australia 500 respondents,Adopcja_Technologii
Jak zazwyczaj badasz duże zakupy?,Online research ekstensywny - 95% starts online,59% buyers conduct online research before dealership visit,Modera automotive customer behavior study,Wzorce_Behawioralne
Jak długi jest Twój typowy proces decyzyjny?,"7-9 godzin online research, 4 miesiące całkowity proces",Tesla customers: 4 months learning phase post-purchase for confidence,Energex EV Customer Experience Journey Mapping 2021,Wzorce_Behawioralne
Kto wpływa na Twoje decyzje zakupowe pojazdu?,"Familie/peers influence, ale final decision individual",21% of car customers influenced directly by social media,DriftRock automotive conversion research,Wzorce_Behawioralne
Jakim źródłom informacji najbardziej ufasz?,"Tesla website, YouTube influencers, owner testimonials","Tesla followers consume Elon Musk updates, YouTube channels extensively","Canadian Tesla influence survey, YouTube/social media analysis",Wzorce_Behawioralne
Jak ważna jest jazda testowa przed zakupem?,Bardzo ważna - często decisive factor,Tesla testing experience often determines final purchase decision,Multiple Tesla customer experience studies,Wzorce_Behawioralne
Wolisz zakupy online czy osobiste?,"Hybrid approach - research online, buy in-person",Tesla direct-to-consumer model changes traditional buying patterns,Tesla buying journey UX analysis,Wzorce_Behawioralne
W jaki sposób wolisz otrzymywać komunikację follow-up?,"Tesla app notifications, email, SMS opcjonalnie","Tesla communication preferences: app>email>SMS, can unsubscribe anytime",Tesla legal communication preferences documentation,Wzorce_Behawioralne
Jakiego typu obsługi klienta oczekujesz?,Premium service quality - currently biggest Tesla weakness,Only 42% rate Tesla service as 'excellent' (spadek z 57% w 2017),Bernstein Tesla customer satisfaction survey 2019,Oczekiwania_Doświadczenia
Jak ważna jest spersonalizowana komunikacja?,Bardzo ważna - Tesla personalizuje na podstawie danych pojazdu,Tesla uses vehicle data i driving patterns do personalizacji,Tesla customer privacy notice - personalization data,Oczekiwania_Doświadczenia
Co poprawiłoby Twoje doświadczenie zakupowe?,"Better service communication, shorter wait times",72% would visit dealerships more if process improved,AutoTrader customer experience improvement study,Oczekiwania_Doświadczenia
W jaki sposób wolisz umawiać spotkania?,"Tesla app scheduling preferred, phone backup",Tesla eliminuje traditional dealership model - direct scheduling,Tesla direct sales model documentation,Oczekiwania_Doświadczenia
Jakie masz obawy dotyczące procesu zakupu?,"Service quality issues, delivery delays, communication gaps",Model S/X customers upset with poor communication on deliveries,Reddit Tesla community feedback analysis,Oczekiwania_Doświadczenia
Jak ważna jest elastyczność terminu dostawy?,Bardzo ważna - especially dla premium segment customers,"Tesla delivery dates często unpredictable, customers want transparency",Tesla delivery process customer complaints analysis,Oczekiwania_Doświadczenia